127.0.0.1 - - [21/Jun/2022:23:06:54 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/ HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/slide1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/slide2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/slide3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/img/box9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:06:55 +0900] "GET /myweb/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:07:00 +0900] "GET /myweb/user/userJoin;jsessionid=9CD4FA82AA94014C2AC7859B76DCBB22 HTTP/1.1" 200 12273
