127.0.0.1 - - [14/Aug/2022:22:20:41 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/ HTTP/1.1" 200 14352
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/css/templatemo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/css/fontawesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/js/templatemo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/images/logoo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/images/law1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/images/law2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/images/law3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/webfonts/fa-solid-900.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/webfonts/fa-brands-400.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/webfonts/fa-solid-900.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/webfonts/fa-brands-400.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Aug/2022:22:20:42 +0900] "GET /myweb/resources/images/favicon.ico HTTP/1.1" 404 721
107.182.129.239 - - [14/Aug/2022:22:33:29 +0900] "POST /boaform/admin/formLogin HTTP/1.1" 404 797
