127.0.0.1 - - [22/May/2022:20:45:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/ HTTP/1.1" 200 7503
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/css/business-casual.css HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/css/bootstrap.css HTTP/1.1" 200 146054
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/js/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/1.jpg HTTP/1.1" 200 88804
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/2.jpg HTTP/1.1" 200 49187
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/intro.jpg HTTP/1.1" 200 96739
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/5.jpg HTTP/1.1" 200 116766
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/insta.PNG HTTP/1.1" 200 246212
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/facebook.PNG HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/bg.jpg HTTP/1.1" 200 152880
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:28 +0900] "GET /MyWeb/img/twitter.PNG HTTP/1.1" 200 9599
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:31 +0900] "GET /MyWeb/user/user_login.jsp HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:36 +0900] "POST /MyWeb/user/user_login_con.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:36 +0900] "GET /MyWeb/user/user_mypage.jsp HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:39 +0900] "GET /MyWeb/list.board HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/May/2022:20:45:51 +0900] "GET /MyWeb/list.board HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:23 +0900] "GET /MyWeb/user/user_mypage.jsp HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:24 +0900] "GET /MyWeb/user/user_mypage.jsp HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:25 +0900] "GET /MyWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:25 +0900] "GET /MyWeb/ HTTP/1.1" 200 7533
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:27 +0900] "GET /MyWeb/user/user_logout.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:28 +0900] "GET /MyWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:29 +0900] "GET /MyWeb/ HTTP/1.1" 200 7503
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:30 +0900] "GET /MyWeb/user/user_join.jsp HTTP/1.1" 200 9533
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:30 +0900] "GET /MyWeb/js/member.js HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:32 +0900] "GET /MyWeb/list.board HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/May/2022:20:47:34 +0900] "GET /MyWeb/list.board HTTP/1.1" 200 -
